Return_ID,Order_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Return_Status,Refund_Amount
R0001,O00570,C0030,P013,18/11/2025,1,Size/Color Issue,Approved,23515.5
R0002,O01232,C0312,P009,14/08/2025,1,Changed Mind,Rejected,0
R0003,O01696,C0326,P015,16/02/2025,2,Defective,Refunded,13585.19
R0004,O01594,C0420,P035,9/3/2025,3,Defective,Rejected,62370.21
R0005,O02883,C0155,P001,12/5/2025,2,Not as Expected,Rejected,56118.67
R0006,O02771,C0205,P016,23/06/2025,1,Late Delivery,Approved,10986.4
R0007,O01854,C0387,P008,26/04/2025,3,Size/Color Issue,Refunded,"101,430.00"
R0008,O02999,C0255,P007,13/10/2025,2,Damaged,Refunded,1536.94
R0009,O02570,C0393,P029,2/10/2025,1,Late Delivery,Rejected,50625.71
R0010,O01189,C0406,P049,11/12/2025,2,Changed Mind,Refunded,61770.09
R0011,O00254,C0304,P033,10/7/2025,1,Size/Color Issue,Pending,35625.03
R0012,O01094,C0196,P031,14/11/2025,3,Defective,Pending,48750.1
R0013,O00206,C0388,P040,22/11/2025,2,Size/Color Issue,Rejected,48868.34
R0014,O00407,C0190,P012,1/3/2025,1,Damaged,Approved,23175.16
R0015,O01789,C0342,P013,10/9/2025,1,Damaged,Pending,66600.82
R0016,O02618,C0291,P014,11/3/2025,2,Late Delivery,Rejected,50451.22
R0017,O00971,C0478,P039,23/12/2025,3,Late Delivery,Pending,66463.33
R0018,O02058,C0119,P027,2/12/2025,1,Not as Expected,Refunded,46366.09
R0019,O01644,C0208,P023,24/05/2025,1,Size/Color Issue,Rejected,16686.59
R0020,O01436,C0122,P021,16/08/2025,1,Not as Expected,Rejected,7901.92
R0021,O02792,C0156,P033,18/12/2025,2,Changed Mind,Rejected,5010.98
R0022,O02300,C0100,P049,22/05/2025,1,Damaged,Refunded,7329.67
R0023,O02932,C0291,P024,19/04/2025,3,Size/Color Issue,Approved,4268.1
R0024,O01251,C0485,P021,20/06/2025,1,Wrong Item,Pending,5611.46
R0025,O01035,C0448,P047,11/10/2025,1,Changed Mind,Pending,61072.45
R0026,O00949,C0241,P042,30/04/2025,2,Not as Expected,Pending,59253.96
R0027,O00572,C0383,P023,2/11/2025,1,Defective,Pending,74070.78
R0028,O02984,C0300,P033,4/10/2025,2,Not as Expected,Pending,8689.51
R0029,O01201,C0214,P011,14/01/2025,1,Damaged,Rejected,59353.86
R0030,O02292,C0164,P004,2/5/2025,3,Defective,Approved,13481.34
R0031,O02166,C0310,P021,27/01/2025,1,Size/Color Issue,Refunded,39693.37
R0032,O00599,C0002,P001,2/2/2025,2,Late Delivery,Rejected,38736.23
R0033,O00549,C0179,P017,25/02/2025,2,Changed Mind,Pending,70933.47
R0034,O02744,C0456,P030,23/01/2025,3,Not as Expected,Rejected,34624.17
R0035,O02668,C0303,P012,16/01/2025,1,Late Delivery,Refunded,32257.38
R0036,O02492,C0363,P024,25/02/2025,2,Size/Color Issue,Refunded,5975.06
R0037,O02941,C0330,P037,11/2/2025,2,Changed Mind,Pending,5393.33
R0038,O00441,C0301,P009,21/05/2025,3,Size/Color Issue,Rejected,28877.38
R0039,O00357,C0322,P044,2/11/2025,3,Defective,Refunded,38163.56
R0040,O00392,Unknown,P015,9/8/2025,1,Not as Expected,Approved,64033.06
R0041,O01381,C0106,P034,30/11/2025,3,Size/Color Issue,Pending,32540.21
R0042,O00934,C0032,P038,27/04/2025,2,Defective,Refunded,30205.4
R0043,O01963,C0082,P022,18/02/2025,2,Late Delivery,Rejected,50050.54
R0044,O02414,C0048,P022,11/7/2025,1,Size/Color Issue,Refunded,5501.43
R0045,O02348,C0407,P034,13/02/2025,1,Late Delivery,Approved,"21,340.00"
R0046,O01044,C0411,P033,10/7/2025,1,Changed Mind,Approved,44191.65
R0047,O01732,C0485,P017,15/10/2025,3,Defective,Approved,31105.24
R0048,O01216,C0315,P025,7/12/2025,2,Not as Expected,Approved,72645.7
R0049,O02391,C0233,P044,4/11/2025,2,Defective,Approved,43554.93
R0050,O02733,C0348,P004,19/04/2025,1,Size/Color Issue,Refunded,17206.24
R0051,O01609,C0018,P030,25/02/2025,2,Not as Expected,Rejected,9058.96
R0052,O00532,C0254,P021,23/05/2025,3,Wrong Item,Refunded,63464.06
R0053,O00127,C0075,P041,15/11/2025,3,Size/Color Issue,Approved,45870.12
R0054,O01921,C0490,P015,3/12/2025,3,Defective,Approved,13941
R0055,O00325,C0203,P044,26/12/2025,2,Defective,Rejected,954.88
R0056,O01336,C0287,P044,15/03/2025,3,Size/Color Issue,Refunded,5684.11
R0057,O02159,C0345,P006,21/11/2025,1,Damaged,Pending,28526.48
R0058,O01756,C0347,P045,21/08/2025,2,Wrong Item,Rejected,23716.98
R0059,O02509,C0182,P011,16/06/2025,3,Changed Mind,Approved,66308.99
R0060,O00511,C0262,P047,21/03/2025,1,Not as Expected,Approved,50710.67
R0061,O01263,C0481,P038,20/05/2025,2,SIZE/COLOR ISSUE,Refunded,36681.8
R0062,O01037,C0010,P029,15/08/2025,2,Defective,Pending,56743.26
R0063,O02219,C0268,P037,28/02/2025,2,Late Delivery,Approved,21601.86
R0064,O01339,C0461,P046,14/12/2025,3,Late Delivery,Rejected,3883.59
R0065,O00818,C0115,P041,22/07/2025,3,Damaged,Approved,15729.52
R0066,O02384,C0019,P004,19/04/2025,1,Not as Expected,Rejected,22063.81
R0067,O00301,C0284,P023,3/3/2025,1,Late Delivery,Refunded,13589.26
R0068,O02860,C0385,P004,14/07/2025,3,Size/Color Issue,Pending,37769.54
R0069,O00462,C0403,P020,9/12/2025,2,Damaged,Refunded,64701.44
R0070,O00933,C0156,P043,22/01/2025,2,Damaged,Refunded,69126.6
R0071,O01447,C0490,P049,10/6/2025,3,Late Delivery,Refunded,53357.67
R0072,O02538,C0426,P032,2/8/2025,2,Damaged,Refunded,2053.81
R0073,O02135,C0394,P040,16/06/2025,1,Not as Expected,Refunded,62485.93
R0074,O02779,C0168,P005,5/7/2025,1,Late Delivery,Approved,18627.08
R0075,O00181,Unknown,P008,29/10/2025,2,CHANGED MIND,Approved,29984.62
R0076,O02147,C0416,P012,8/6/2025,3,Defective,Pending,25313.61
R0077,O00937,C0164,P038,28/03/2025,1,Changed Mind,Approved,40030.06
R0078,O00398,C0144,P004,10/4/2025,2,Defective,Pending,18102.03
R0079,O01104,C0161,P024,16/03/2025,2,Wrong Item,Pending,45378.72
R0080,O00052,C0003,P028,2/12/2025,1,Wrong Item,Refunded,35064.5
R0081,O02419,C0429,P036,16/10/2025,3,Late Delivery,Rejected,64886.39
R0082,O02148,C0484,P044,18/11/2025,2,Wrong Item,Refunded,5587.33
R0083,O00656,C0480,P038,15/08/2025,3,Defective,Rejected,44560.77
R0084,O01031,C0392,P050,30/06/2025,3,Damaged,Rejected,34899.82
R0085,O02533,C0104,P030,20/01/2025,1,Defective,Rejected,6216.46
R0086,O01109,C0108,P045,16/02/2025,3,Changed Mind,Refunded,34972.02
R0087,O02151,C0299,P021,11/10/2025,3,Damaged,Refunded,68224.22
R0088,O02813,C0456,P028,20/10/2025,3,Wrong Item,Rejected,45572.93
R0089,O02724,C0343,P023,14/09/2025,1,Damaged,Refunded,8210.89
R0090,O00104,C0005,P049,25/06/2025,3,Damaged,Pending,3416.09
R0091,O02448,C0446,P021,29/12/2025,2,Late Delivery,Pending,27610.4
R0092,O01778,C0446,P047,25/05/2025,2,Late Delivery,Rejected,51077.88
R0093,O02703,C0220,P018,27/01/2025,3,Size/Color Issue,Rejected,5410.43
R0094,O02969,C0281,P030,18/02/2025,3,Size/Color Issue,Refunded,21668.95
R0095,O00199,C0004,P014,3/12/2025,3,Not as Expected,Pending,25335.47
R0096,O01922,C0316,P017,26/10/2025,3,Wrong Item,Rejected,23612.26
R0097,O01859,C0125,P043,2/12/2025,3,Size/Color Issue,Refunded,10106.9
R0098,O00526,C0365,P006,29/12/2025,1,Defective,Refunded,48440.25
R0099,O00650,C0499,P025,18/06/2025,1,Size/Color Issue,Approved,48628.85
R0100,O02004,C0441,P044,5/8/2025,3,Defective,Approved,27513.53
R0101,O02213,C0281,P042,3/4/2025,1,Defective,Refunded,14804.39
R0102,O00069,Unknown,P018,12/3/2025,1,Damaged,Rejected,63409.91
R0103,O02225,C0397,P046,21/02/2025,3,Not as Expected,Approved,49813.73
R0104,O02290,C0211,P037,13/11/2025,1,Changed Mind,Refunded,11991.83
R0105,O02445,C0486,P036,3/4/2025,3,Not as Expected,Pending,54228.13
R0106,O01470,C0280,P031,23/01/2025,2,Defective,Pending,72734.35
R0107,O00562,C0211,P022,9/11/2025,2,Not as Expected,Refunded,17933.22
R0108,O01746,C0134,P002,3/5/2025,2,Not as Expected,Refunded,67846.09
R0109,O01518,C0120,P032,10/4/2025,2,Size/Color Issue,Refunded,34895.16
R0110,O01929,C0324,P014,25/05/2025,2,Changed Mind,Refunded,72486.98
R0111,O02871,C0389,P036,13/04/2025,3,Wrong Item,Rejected,4387.4
R0112,O02177,C0318,P012,4/9/2025,2,Changed Mind,Approved,53499.37
R0113,O01373,C0353,P010,22/09/2025,1,Defective,Approved,57352.2
R0114,O02050,C0218,P030,20/05/2025,2,Changed Mind,Pending,62412.98
R0115,O01885,C0095,P027,16/02/2025,1,Not as Expected,Refunded,66404.92
R0116,O01492,C0003,P023,14/01/2025,2,Damaged,Refunded,37899.53
R0117,O01930,C0345,P025,1/5/2025,2,Damaged,Rejected,17228.14
R0118,O02885,C0224,P030,13/06/2025,1,Not as Expected,Rejected,59457.86
R0119,O02886,C0430,P046,12/3/2025,1,Defective,Refunded,52357.36
R0120,O01103,C0212,P017,13/03/2025,3,Late Delivery,Refunded,46343.45
R0121,O02593,C0270,P039,10/2/2025,1,Defective,Pending,62704.75
R0122,O01320,C0163,P043,8/10/2025,3,Changed Mind,Refunded,8783.42
R0123,O01503,C0470,P048,28/05/2025,1,Defective,Approved,4057.33
R0124,O01787,C0038,P017,3/8/2025,3,Not as Expected,Refunded,5179.13
R0125,O01525,C0105,P039,13/09/2025,3,Changed Mind,Approved,47580.64
R0126,O02444,C0160,P015,22/10/2025,1,Size/Color Issue,Pending,22199.76
R0127,O01758,C0211,P035,1/1/2025,3,Defective,Pending,43014.45
R0128,O01974,Unknown,P008,6/4/2025,3,Size/Color Issue,Approved,39499.6
R0129,O02164,C0165,P025,4/7/2025,1,Changed Mind,Approved,29588.8
R0130,O01222,C0286,P024,29/08/2025,1,Size/Color Issue,Refunded,73587.44
R0131,O01491,C0480,P033,10/5/2025,3,Damaged,Rejected,59244.74
R0132,O00862,C0168,P022,26/06/2025,1,Size/Color Issue,Approved,57976.85
R0133,O01185,C0241,P010,20/06/2025,1,Damaged,Rejected,41178.02
R0134,O00770,C0481,P016,26/11/2025,1,Not as Expected,Refunded,73571.03
R0135,O00684,C0166,P050,3/9/2025,3,Wrong Item,Pending,5200.99
R0136,O02527,C0372,P016,23/08/2025,1,Defective,Pending,3763.57
R0137,O00197,C0091,P045,13/04/2025,1,Defective,Rejected,38896.08
R0138,O00425,C0280,P011,6/10/2025,2,Defective,Approved,56620.17
R0139,O02406,C0171,P047,8/4/2025,2,Defective,Approved,65001.97
R0140,O01055,C0252,P010,19/06/2025,2,Damaged,Rejected,33052.88
R0141,O02217,C0085,P003,24/07/2025,3,Late Delivery,Refunded,25758.23
R0142,O00791,C0391,P041,6/4/2025,2,Size/Color Issue,Refunded,27867.35
R0143,O02157,C0228,P014,23/09/2025,2,Not as Expected,Approved,54667.56
R0144,O01007,C0201,P003,10/2/2025,2,Changed Mind,Pending,41137.84
R0145,O00965,C0498,P038,14/06/2025,1,Damaged,Rejected,49738.48
R0146,O00249,C0205,P033,6/6/2025,2,Changed Mind,Refunded,12915.04
R0147,O00033,C0062,P049,16/08/2025,2,Late Delivery,Approved,54647.67
R0148,O01629,C0120,P041,30/06/2025,3,Late Delivery,Rejected,48140.46
R0149,O02429,C0024,P001,30/01/2025,1,Size/Color Issue,Refunded,27566.68
R0150,O00178,C0287,P046,14/12/2025,1,Damaged,Pending,63725.86
R0151,O01249,C0073,P045,14/12/2025,2,Damaged,Pending,5508.89
R0152,O02318,C0374,P005,27/11/2025,2,Defective,Refunded,71235.3
R0153,O01969,C0149,P002,17/01/2025,3,Wrong Item,Refunded,71187.35
R0154,O01243,C0316,P012,10/7/2025,2,Not as Expected,Approved,43257.17
R0155,O02679,C0284,P023,29/09/2025,2,Late Delivery,Rejected,48892.27
R0156,O01386,C0406,P002,8/5/2025,1,Damaged,Pending,37678.78
R0157,O01300,C0127,P023,18/07/2025,3,Damaged,Rejected,58234.85
R0158,O02674,C0245,P009,27/12/2025,2,Wrong Item,Rejected,52201.56
R0159,O00516,C0026,P003,9/9/2025,1,Damaged,Pending,64035.56
R0160,O02158,C0012,P029,20/08/2025,1,Size/Color Issue,Refunded,74796.05
R0161,O02409,C0239,P025,16/12/2025,2,Size/Color Issue,Rejected,53360.77
R0162,O01586,C0228,P018,9/10/2025,3,Defective,Rejected,63926.47
R0163,O00448,C0005,P009,31/12/2025,3,Size/Color Issue,Pending,59630.38
R0164,O00735,C0319,P034,18/09/2025,1,Damaged,Pending,59508.89
R0165,O00292,C0115,P010,2/5/2025,2,DAMAGED,Rejected,41774.6
R0166,O00144,C0213,P023,8/7/2025,2,Not as Expected,Pending,46090.15
R0167,O02925,C0386,P026,14/02/2025,1,Defective,Refunded,"6,329.25"
R0168,O02238,C0458,P029,3/9/2025,3,Late Delivery,Refunded,61838.79
R0169,O01676,C0037,P038,7/2/2025,1,Defective,Approved,34023.1
R0170,O00334,C0038,P029,15/12/2025,3,Defective,Pending,65908.03
R0171,O02403,C0044,P001,10/10/2025,3,Changed Mind,Pending,57699.73
R0172,O01018,C0125,P047,8/3/2025,2,Changed Mind,Approved,62438.62
R0173,O01953,C0187,P003,23/09/2025,1,Defective,Pending,12566.54
R0174,O01802,C0305,P004,30/12/2025,1,Defective,Rejected,63522.06
R0175,O02766,C0171,P033,9/5/2025,1,Size/Color Issue,Rejected,9825.19
R0176,O01949,C0174,P012,5/6/2025,3,Changed Mind,Approved,37941.7
R0177,O00569,C0439,P001,28/03/2025,3,Changed Mind,Pending,13254.45
R0178,O00648,C0194,P006,16/11/2025,3,Changed Mind,Rejected,63268.49
R0179,O01253,Unknown,P022,16/10/2025,1,Not as Expected,Approved,6551.1
R0180,O00180,C0258,P003,25/11/2025,3,Defective,Pending,57638.45
R0181,O02511,C0334,P025,2/8/2025,3,Size/Color Issue,Approved,37603.84
R0182,O00187,C0154,P005,18/11/2025,3,Defective,Rejected,36479.39
R0183,O02776,C0082,P018,17/12/2025,2,Defective,Refunded,5936.49
R0184,O01864,C0326,P030,31/01/2025,1,Late Delivery,Refunded,36576.71
R0185,O02982,C0043,P007,15/04/2025,2,Changed Mind,Pending,23787.4
R0186,O01548,C0218,P001,13/06/2025,3,Not as Expected,Rejected,73165.37
R0187,O00045,C0159,P039,8/3/2025,2,Changed Mind,Approved,24274.13
R0188,O01774,C0295,P047,27/08/2025,1,Defective,Refunded,18969.96
R0189,O01423,C0067,P009,19/02/2025,1,Defective,Refunded,64880.21
R0190,O01513,C0329,P038,3/8/2025,1,Not as Expected,Pending,61104.1
R0191,O01608,C0282,P039,23/10/2025,3,Defective,Pending,57352.54
R0192,O01248,C0412,P027,13/09/2025,3,Late Delivery,Refunded,65991.14
