Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Region,State,City,Sales_Channel,Shipping_Mode,Delivery_Days,Payment_Method,Order_Status,Profit ,,,
O00001,29/05/2025,C0482,P047,1,41886,25,31414.5,37541.87,South,Telangana,Hyderabad,Website,Standard,1,Net Banking,Delivered,-6127.37,,,
O00002,5/11/2025,C0075,P031,3,3960,20,9504,9020.88,North,Telangana,Hyderabad,Website,Express,6,Card,Delivered,483.12,,,
O00003,6/27/2025,C0319,P032,3,39358,20,94459.2,70949.36,North,Telangana,Hyderabad,Mobile App,Express,3,COD,Cancelled,23509.84,,,
O00004,3/11/2025,C0151,P027,5,42494,5,201846.5,158716.48,East,Telangana,Hyderabad,Marketplace,Express,2,COD,Cancelled,43130.02,,,
O00005,2/17/2025,C0073,P033,4,17939,0,71756,55459.7,North,Telangana,Hyderabad,Mobile App,Same Day,4,Card,Delivered,16296.3,,,
O00006,1/1/2025,C0314,P034,3,8157,10,22023.9,21825.65,North,Telangana,Hyderabad,Website,Standard,5,COD,Delivered,198.25,,,
O00007,4/3/2025,C0145,P013,4,925,5,3515,3334.07,East,Karnataka,Bengaluru,Website,Express,1,UPI,Delivered,180.93,,,
O00008,6/16/2025,C0190,P044,4,30493,5,115873.4,102539.94,East,Telangana,Hyderabad,Website,Express,2,Card,Delivered,13333.46,,,
O00009,12/16/2025,C0143,P018,5,44390,35,155365,162056.9,North,Telangana,Hyderabad,Marketplace,Standard,6,UPI,Delivered,-6691.9,,,
O00010,8/22/2025,C0488,P014,3,39794,0,119382,78455.9,North,Telangana,Hyderabad,Mobile App,Standard,7,Net Banking,Cancelled,40926.1,,,
O00011,6/9/2025,C0051,P028,2,39154,20,62646.4,67738.26,East,Karnataka,Bengaluru,Website,Express,7,Card,Delivered,-5091.86,,,
O00012,10/30/2025,C0211,P040,4,17934,20,57388.8,66248.96,West,Telangana,Hyderabad,Marketplace,Express,1,Net Banking,Cancelled,-8860.16,,,
O00013,12/25/2025,C0207,P017,4,37418,10,134704.8,102143.22,North,Telangana,Hyderabad,Website,Express,7,Card,Cancelled,32561.58,,,
O00014,12/18/2025,C0149,P013,4,18327,0,73308,56772.95,South,Telangana,Hyderabad,Website,Express,4,Card,Delivered,16535.05,,,
O00015,21/07/2025,C0425,P031,1,9719,0,9719,6472.21,West,Karnataka,Bengaluru,Marketplace,Express,2,Net Banking,Delivered,3246.79,,,
O00016,16/06/2025,C0324,P010,4,19726,15,67068.4,67353.86,East,Karnataka,Bengaluru,Mobile App,Express,6,Card,Delivered,-285.46,,,
O00017,9/20/2025,C0412,P011,4,25832,15,87828.8,68033.4,South,Telangana,Hyderabad,Mobile App,Same Day,3,UPI,Delivered,19795.4,,,
O00018,11/5/2025,C0418,P044,5,48711,0,243555,184187.34,North,Telangana,Hyderabad,Marketplace,Same Day,6,UPI,Delivered,59367.66,,,
O00061,12/31/2025,C0194,P041,1,18266,35,12786.2,11859.37,East,Karnataka,Bengaluru,Mobile App,Express,4,UPI,Delivered,926.83,,,
O00020,4/28/2025,C0345,P008,5,48499,20,193996,214977.76,West,Telangana,Hyderabad,Marketplace,Express,4,Card,Delivered,-20981.76,,,
O00021,6/5/2025,C0012,P049,4,19156,0,76624,46280.78,West,Karnataka,Bengaluru,Mobile App,Same Day,3,Card,Delivered,30343.22,,,
O00022,2/14/2025,C0123,P013,1,47441,0,47441,39942.59,West,Karnataka,Bengaluru,Mobile App,Express,3,Net Banking,Delivered,7498.41,,,
O00023,11/22/2025,C0243,P030,4,38187,35,106923.6,95822.26,North,Telangana,Hyderabad,Mobile App,Express,3,Card,Delivered,11101.34,,,
O00024,20/08/2025,C0186,P050,3,7482,0,22446,19582.4,North,Telangana,Hyderabad,Website,Standard,2,Card,Delivered,2863.6,,,
O00025,3/9/2025,C0160,P047,2,7835,35,10969,12884.6,North,Telangana,Hyderabad,Website,Express,7,UPI,Delivered,-1915.6,,,
O00026,20/03/2025,C0028,P024,4,12482,30,34949.6,40631.63,North,Telangana,Hyderabad,Marketplace,Express,2,COD,Delivered,-5682.03,,,
O00027,3/5/2025,C0329,P018,3,788,30,1654.8,2096.98,East,Telangana,Hyderabad,Marketplace,Express,4,COD,Delivered,-442.18,,,
O00028,1/3/2025,C0479,P041,4,16424,35,45987.2,40442.22,North,Telangana,Hyderabad,Mobile App,Standard,4,Net Banking,Delivered,5544.98,,,
O00029,21/07/2025,C0308,P022,2,44670,35,62538,66338.53,West,Telangana,Hyderabad,Website,Standard,5,UPI,Delivered,-3800.53,,,
O00030,3/27/2025,C0015,P023,5,36646,5,174068.5,171535.86,South,Telangana,Hyderabad,Website,Same Day,7,Card,Cancelled,2532.64,,,592
O00031,6/28/2025,C0025,P048,3,11634,0,34902,23633.95,West,Karnataka,Bengaluru,Marketplace,Standard,3,Card,Delivered,11268.05,,,
O00032,12/15/2025,C0500,P027,4,46896,0,187584,126319.35,West,Maharashtra,Mumbai,Marketplace,Same Day,7,Net Banking,Delivered,61264.65,,,
O00033,12/4/2025,C0062,P049,2,14114,0,28228,21727.55,South,Telangana,Hyderabad,Website,Standard,1,COD,Delivered,6500.45,,,
O00034,1/22/2025,C0269,P020,1,21947,20,17557.6,13372.76,North,Telangana,Hyderabad,Marketplace,Same Day,5,Card,Cancelled,4184.84,,,
O00035,12/12/2025,C0419,P040,3,38878,10,104970.6,96154.49,North,Maharashtra,Pune,Mobile App,Standard,3,COD,Cancelled,8816.11,,,
O00036,12/15/2025,C0298,P014,5,23813,-5,119065,87653.85,West,Maharashtra,Pune,Marketplace,Express,7,Card,Cancelled,31411.15,,,577
O00037,9/16/2025,C0052,P021,1,41916,10,37724.4,26808.52,West,Telangana,Hyderabad,Marketplace,Express,3,Card,Cancelled,10915.88,,,
O00038,12/8/2025,C0180,P038,5,40657,20,162628,127742.31,North,Telangana,Hyderabad,Marketplace,Express,1,Net Banking,Cancelled,34885.69,,,
O00039,8/24/2025,C0267,P026,4,13087,25,39261,45744.47,South,Karnataka,Bengaluru,Marketplace,Standard,6,COD,Delivered,-6483.47,,,
O00040,1/17/2025,C0380,P039,5,7515,0,37575,34207.95,West,Telangana,Hyderabad,Mobile App,Standard,4,Net Banking,Delivered,3367.05,,,
O00041,8/29/2025,C0373,P016,3,49837,20,119608.8,93109.06,East,Telangana,Hyderabad,Marketplace,Express,2,Net Banking,Delivered,26499.74,,,
O00042,8/12/2025,C0205,P030,2,47857,-5,95714,66971.28,North,Telangana,Hyderabad,Marketplace,Same Day,2,COD,Cancelled,28742.72,,,
O00043,5/31/2025,C0389,P025,5,21125,-5,105625,87016.83,East,Telangana,Hyderabad,Marketplace,Express,3,Card,Cancelled,18608.17,,,
O00044,3/27/2025,C0334,P015,1,46240,0,46240,36244.28,West,Telangana,Hyderabad,Mobile App,Same Day,6,Card,Delivered,9995.72,,,
O00045,3/31/2025,C0159,P039,5,25746,0,128730,119345.68,West,Telangana,Hyderabad,Website,Same Day,1,Net Banking,Delivered,9384.32,,,
O00046,7/25/2025,C0044,P011,5,29344,10,132048,104112.98,East,Telangana,Hyderabad,Mobile App,Standard,5,COD,Cancelled,27935.02,,,
O00047,27/08/2025,C0091,P008,2,12761,15,21693.7,16111.8,North,Maharashtra,Mumbai,Website,Standard,7,Card,Delivered,5581.9,,,
O00048,10/9/2025,Unknown,P011,2,4418,25,6627,5415.19,South,Telangana,Hyderabad,Website,Standard,4,COD,Delivered,1211.81,,,
O00049,11/14/2025,C0027,P039,5,49330,15,209652.5,222474.02,South,Telangana,Hyderabad,Marketplace,Express,7,Card,Delivered,-12821.52,,,
O00050,1/27/2025,C0101,P004,5,15940,35,55790,59194.44,East,Telangana,Hyderabad,Marketplace,Express,4,Card,Delivered,-3404.44,,,
O00051,3/22/2025,C0343,P009,5,6855,10,30847.5,31661.37,West,Telangana,Hyderabad,Mobile App,Standard,4,Card,Cancelled,-813.87,,,
O00052,7/13/2025,C0003,P028,5,23340,0,116700,106909.82,South,Telangana,Hyderabad,Marketplace,Express,6,COD,Cancelled,9790.18,,,
O00053,8/8/2025,C0488,P045,4,5906,0,23624,17304.76,East,Maharashtra,Mumbai,Marketplace,Standard,5,Card,Delivered,6319.24,,,
